Amplicon	ACA201	ACA202	ACA321	ACA903B	Antequera	ANZA	ARAGON03	ArturNick	Aucan	Baquette9	BIOINTA1001	BIOINTA1004	BIOINTA1005	BIOINTA2004	BuckBaqueano	BuckBrasil	BuckHuanchen	BuckNorteno	BuckPuelche	Bulel	CATEDRAL	DMarioAtlax	DonPedro	Escacena	HT435	HT444	HT460	INIACondor	Jerezano	KleinDonEnrique	KleinGavilan	KleinLeon	KleinRayo	KleinRendidor	KleinTigre	MarcosJuarez	OlaetaArtillero	proINTAGaucho	proINTAGranar	proINTAGuazu	proINTAOasis	RelmoSiriri	THA85	XEIXA
T545-9	5.26	4.47	3.66	10.16	4.95	3.68	5.54	5.14	0	6.57	7.66	5.02	3.77	4.18	12.05	6.15	10.27	11.5	10.7	0	0	1.55	0	4.37	0	0	0	8.65	5.24	11.45	6.25	4.8	4.13	6.54	11.8	4.09	4.98	1.75	5.76	10.03	12.9	3.21	4.87	6.26
T545-19	4.3	0	0	0	0	0	0	0	0	0	0	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	2.53	0	0	0	0	0	0	0	0	0	0	0
T545-20	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66	0.42	0	0	0	0	0	0	0	0	0	0	0.13
T545-33	0	0	0	0	0	0	0	0	0	0	0	0	5.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.48	4.96	0	0	0	0	0	0	0	0	0	0	0
gi|363992669|gb|HQ875965.1|	0	0	0	0.36	0	0	0	0	0	0	0.27	0	0	0	0.3	0	0	0.38	0	0	0	0	0	0	0	0	0	0.26	0	0.3	0.27	0	0	0	0.58	0	0	0	0.26	0.28	0.39	0	0	0
gi|363992692|gb|HQ875980.1|	0	0	0	2.21	0	0	0	0	0	0	1.5	0	0	8.45	2.52	0	2.1	3.07	3.07	0	0	0	0	0	0	0	0	2.06	0	1.82	1.94	0	0	0	2.45	0	0	0	1.48	2.29	3.47	0	0	0
gi|363992709|gb|HQ875997.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0.26	0.28	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0
gi|363992710|gb|HQ875998.1|	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0.27	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0.27	0	0	0	0	0	0	0	0.36	0.41	0	0	0	0
GQ871770	7.29	5.91	6.08	11	0	3.4	5.03	4.91	0	6.38	6.92	0	3.22	0	10.55	7.17	12.3	12.8	14.9	0	0	1.97	0	5.5	0	0	0	10.38	0	0	6.58	0	3.77	0	0	6.83	6.71	1.86	7.24	0	14.7	3.04	5.15	6.95
GQ871774	0.33	0	0	0.36	0.58	0	0	0	0	0.28	0	0.52	0	0.27	0	0.3	0.46	0	0.35	0	0	0	0	0	0	0	0	0	0.39	0.79	0.27	0.26	0	0.59	0.65	0.3	0	0	0	0.76	0.31	0.26	0	0
GQ871775	0	3.48	2.51	0	2.37	2.18	4.17	3.1	0	3.7	0	2.5	0	3.51	0	2.86	0	0.35	0	0	0	0.96	0	2.84	0	0	0	0	3.92	0	0	0	0	4.06	0	3.34	3.78	1.06	0	0	0	1.73	0	3.7
JX679676	0	0	0	0	4.29	0	0	0	0	0	0	4.03	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48	7.07	0	4.16	0	5.4	11.15	0	0	0	0	6.8	0	0	0	0
JX679682	15.05	23.35	11.5	32.3	15.15	18.8	17.3	11.65	0	13.65	36.95	10.2	19.2	10.85	23.8	14.65	30.75	33.65	30	0	0	41.45	0	17	0	0	0	36.6	17.05	26.35	33.05	11.3	18.3	13.35	28.3	23.05	16.25	44.2	35.7	27.1	29.3	17.9	25.05	15.8
T544-55	0	0	0	0	0	0	0	0	0	0	0	0	10.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.35	10	0	0	0	0	0	0	0	0	0	0	0
T544-58	0.83	0	0.42	0	0	0	0.76	0.33	0	0	0	0	0	0	0	0	6.63	1.64	0.92	0	0	0	0	0	0	0	0	5.09	2.68	0	0	0	0	0	6.45	3.5	0	0	0	0	7.57	0	0	0.46
Tha1_2-13	0	0	2.92	0	0	2.6	0	2.64	0	0	0	3.38	0	3.48	0	0	0	0	0	0	0	0	0	2.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39	0	0
TraesCS1B02G010400	4.33	3.87	0.33	0	3.63	0.34	4.39	0.46	0	4.32	0	0.29	2.61	0.47	0	3.82	0	0	0	0	0	1.31	0	0.41	0	0	0	0	4.07	0	0	5.08	3.33	4.61	0	3.29	4.87	1.46	0	0	0	0.3	0	3.61
TraesCS1B02G010800	0.41	0.67	0.84	0	0.92	0.56	1.55	1.09	1.45	1.65	0	0.48	0.47	0.95	0	0.58	0	0	0	2.21	2.73	0.27	2.4	0.87	1.83	2.24	1.89	0	1.22	0	0	1.02	0.48	0.66	0	0.52	1.4	0.16	0	0	0	0.27	0.68	1.14
TraesCS1B02G011000	41.65	30.3	29.8	0	36.1	23.8	40	28.95	39.5	29.2	0	26.45	24.45	27.35	0	32.4	0	0	0	43.35	37.4	11.3	39.95	18.2	40.6	39.7	42.35	0	36.1	0	0	27.15	23	43.25	0	27	37.9	12.35	0	0	0	24.9	18.9	37.6
TraesCS1D02G001000	0.91	18.75	0.91	21.65	11.5	14.45	0.55	0.97	0	1.07	28.45	7.44	14.25	8.45	17.75	0.7	1.83	1.56	21.65	0	0	33.6	0	15.3	0	0	0	28.9	10.8	20.5	29.6	8.7	16.05	12.2	25.1	18.6	1	32.65	25.95	21.45	1.23	14.6	19.25	1.41
Zollen_2-11	0	0.42	0	0	0	0	0.29	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0.46	0	0	0	0	0.32	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0.35
Zollen_3-7	0	0	24.2	0	0	17.4	0	21.55	27.8	0	0	19.85	0	19.35	0	0	0	0	0	18.6	15.7	0	19.75	12.1	16.45	16.55	18.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.65	8.25	0
