Amplicon	ACA201	ACA202	ACA321	ACA903B	Antequera	ANZA	ARAGON03	ArturNick	Aucan	Baquette9	BIOINTA1001	BIOINTA1004	BIOINTA1005	BIOINTA2004	BuckBaqueano	BuckBrasil	BuckHuanchen	BuckNorteno	BuckPuelche	Bulel	CATEDRAL	DMarioAtlax	DonPedro	Escacena	HT435	HT444	HT460	INIACondor	Jerezano	KleinDonEnrique	KleinGavilan	KleinLeon	KleinRayo	KleinRendidor	KleinTigre	MarcosJuarez	OlaetaArtillero	proINTAGaucho	proINTAGranar	proINTAGuazu	proINTAOasis	RelmoSiriri	THA85	XEIXA
TraesCS6A02G049400	0.43	0.36	0.13	0.26	0.27	0.29	0	0	0	0	0.27	0	0	0	0.39	0	0	0.27	0.26	0	0	0	0	0.29	0	0	0	0	0.3	0.27	0.13	0	0	0.4	0	0	0.42	0.26	0.27	0	0.27	0	0	0.27
TraesCS6A02G049500	1.33	1.29	1.05	1.09	0.99	1.02	0	0	0	0	0.93	0.81	0	0	1.16	0	0.86	0.86	0.86	0	0	0	0	1.1	0	0	0	0	1.1	0.88	0.89	0	0	1.22	0	0	1.14	0.85	0.89	0	0.87	0	0	1.1
TraesCS6A02G049600	10.35	10.07	5.89	6.23	6.36	6.5	10.45	10.7	13.95	13.3	6.2	6.3	10.07	12.9	9	10.06	5.18	5.81	5.73	13.05	12.35	10.3	13.05	6.33	13.35	13.05	14.95	9.75	5.97	5.71	5.6	9.54	9.77	9.31	10.35	13.45	9.34	6.11	5.9	9.61	6.37	10.08	11.35	6.46
TraesCS6A02G049700	6.23	6.16	3.88	4.06	3.94	4.38	0	0	0	0	3.84	4.32	0	0	6	0	3.75	4.13	4.04	0	0	0	0	4.19	0	0	0	0	4.25	4.27	4.08	0	0	6.2	0	0	5.68	4.13	3.76	0	3.92	0	0	3.94
TraesCS6B02G065536	0	0	4.78	4.87	4.29	4.88	2.68	2.53	3.84	0	4.3	4.61	2.8	0	0	2.96	4.76	4.38	5.01	3.59	3.09	2.62	3.21	4.51	3.72	3.45	3.58	2.75	4.96	4.62	4.8	2.79	2.75	0	2.9	1.34	0	5.01	4.45	2.81	4.43	2.94	2.83	4.25
TraesCS6B02G065578	0	0	0.27	0.29	0.17	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0.27	0	0	0.31
TraesCS6B02G065856	0	0	0.3	0.34	0.34	0	0	0	0.29	0	0.33	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0.29	0.29	0	0.31	0	0	0.26
TraesCS6B02G086500	6.78	6.75	3.62	3.96	3.54	3.95	2.3	2.36	2.85	3.36	3.62	3.78	2.28	3.39	6.56	2.17	3.58	3.55	0	2.96	0	2.33	2.75	3.58	2.96	2.77	2.81	2.21	3.8	3.87	3.59	2.23	2.17	6.64	0	2.8	6.42	3.94	0	2.28	3.66	2.41	2.45	3.83
TraesCS6B02G086522	11.65	11.7	7.64	8.37	7.17	8.47	5.2	5.29	6.56	7.39	7.16	7.47	5.01	6.59	11.45	5.38	8	6.99	0	6.16	11.35	4.88	5.93	8.63	6.21	5.84	6.1	4.8	9.01	7.64	7.71	5.06	5.36	12.5	0	5.64	11.95	7.73	0	5.26	7.32	5.46	6.05	7.75
TraesCSU02G108000	4.85	4.88	2.65	2.38	2.66	2.86	1.58	1.68	0	2.68	2.83	3.09	1.82	2.9	5.66	1.85	2.84	3.2	3.31	0	0	2	0	2.66	0	0	0	1.91	2.54	2.8	3.36	2.02	1.79	5.48	1.75	2.19	4.97	3.29	2.9	1.85	2.95	1.88	1.8	2.53
TraesCSU02G108100	3.98	3.9	2.21	2.44	2.26	2.4	1.26	1.18	0	1.77	2.4	2.83	1.48	1.92	4.19	1.31	2.35	2.48	2.63	0	0	1.38	0	2.36	0	0	0	1.31	2.25	2.61	2.45	1.4	1.22	4.21	1.24	1.45	4.09	2.46	2.47	1.31	2.39	1.17	0	2.27
TraesCSU02G108300	0.37	0.39	0	0	0.27	0	0	0	0	0	0	0	0	0	0.35	0	0.27	0	0	0	0	0	0	0.27	0	0	0	0	0.27	0.3	0.28	0	0	0.42	0	0	0.39	0	0.27	0	0	0	0	0.27
TraesCSU02G108363	8.24	8.66	4.67	5.29	5.03	5.25	2.92	2.9	0	4.09	5.2	5.67	3.08	4.14	9.39	2.87	5.18	5.27	5.66	0	0	3.07	0	4.81	0	0	0	2.94	4.83	5.75	5.26	3	2.78	8.43	2.88	3.21	8.81	5.36	5.11	2.82	5.02	2.68	2.99	4.94
TraesCSU02G108700	6.04	5.89	3.42	4.11	4.01	2.91	2.25	2.38	0	3.29	4.1	3.84	2.6	3.32	6.25	2.44	4.39	3.53	3.92	0	0	2.56	0	3.49	0	0	0	2.58	3.25	3.96	3	2.32	2.12	5.17	2.4	2.93	6.94	3.73	4.37	2.17	3.45	2.33	2.04	4.05
TraesCSU02G149946	0	0	28.5	27	27.25	28.8	17.5	17.7	25	0	27.2	30.55	17.75	0	0	20.1	30.4	29.9	31.65	22.05	21.05	16.6	21.8	27.75	22.2	22.95	23.2	20.05	28.8	29.6	29.5	19.15	18.95	0	19.4	9.45	0	26.85	29.65	19.5	28.25	19.5	19.6	27.2
TraesCSU02G153800	1.02	0.97	0.52	0.48	0.52	0.44	0	0	0	0	0.56	0.53	0	0	0.52	0	0.28	0.36	0.43	0	0	0	0	0.43	0	0	0	0	0.39	0.37	0.36	0	0	0.59	0	0	0.75	0.5	0.43	0	0.46	0	0	0.5
TraesCSU02G160200	1.06	0.99	0.55	0.54	0.53	0.37	0	0	0	0	0.57	0.64	0	0	0.54	0	0.28	0.46	0.4	0	0	0	0	0.43	0	0	0	0	0.36	0.4	0.37	0	0	0.72	0	0	0.74	0.51	0.47	0	0.51	0	0	0.49
TraesCSU02G188800	1.47	1.46	2.31	0.87	1.53	0.86	0.86	1.33	0	0.78	0.94	1.31	0.68	0.88	1.7	0.51	0.81	0.9	1.86	0	0	1.05	0	0.75	0	0	0	0.58	0.78	0.91	0.86	1	0.48	1.36	0.5	0.65	2.9	1.73	1.7	0.86	0.85	0.47	0	1.55
TraesCSU02G202177	0	0	3.34	2.8	3.08	2.44	1.84	1.98	2.27	0	3.77	0	2.15	0	0	2.27	3.64	3.28	0	2.17	2.49	2.62	2.44	3.28	2.05	2.3	2.04	2.55	2.91	0.34	3.06	2.25	2.12	0	2.23	1.03	0	3.6	3.51	2.14	3.38	2.11	2.03	1.77
TraesCSU02G220200	12.1	11.85	6.27	4.74	7.17	5.01	4.2	2.86	0	5.83	7.51	7.05	2.94	3.98	12.9	4.25	7.11	7.37	7.59	0	0	3.28	0	6.88	0	0	0	2.79	4.66	7.84	7.17	4.14	2.55	12.15	2.75	4.75	12.2	5.33	7.17	4	7.1	2.72	0	7.19
TraesCSU02G255529	0	0	3.09	2.91	3.07	2.48	1.8	1.97	2.14	0	3.47	3.11	4.21	0	0	2.25	3.6	3.27	3.6	1.9	2.36	2.44	2.36	2.89	1.9	2.27	2.06	2.34	2.82	3.63	3.1	2.11	4.08	0	2.09	0.98	0	3.27	3.54	2.1	3.27	1.96	1.97	3.06
X54517.1	0	0	0	0	0	0	2.13	1.76	0	2.39	0	0	1.83	2.54	0	1.72	0	0	0	0	0	2.1	0	0	0	0	0	1.71	0	0	0	1.68	1.73	0	1.8	2.19	0	0	0	1.8	0	1.8	1.79	0
